imdb_id,network,genres
tt15036422,Netflix,reality
tt9680524,Netflix,reality
tt10312964,The CW,drama
tt10312964,The CW,comedy
tt14210424,Netflix,reality
tt14210424,Netflix,comedy
tt8680560,Netflix,reality
tt10069398,Netflix,drama
tt9316032,Seven Network,reality
tt11714872,BBC Two,documentary
tt9628244,Cartoon Network,animation
tt9628244,Cartoon Network,superhero
tt9628244,Cartoon Network,family
tt9628244,Cartoon Network,fantasy
tt9628244,Cartoon Network,science-fiction
tt8518136,Apple TV+,comedy
tt8518136,Apple TV+,drama
tt9446688,Netflix,drama
tt9446688,Netflix,horror
tt9446688,Netflix,romance
tt13617024,Netflix,documentary
tt13617024,Netflix,animation
tt13660962,Netflix,reality
tt1604099,Nickelodeon,comedy
tt1604099,Nickelodeon,drama
tt1604099,Nickelodeon,family
tt8773338,Netflix,reality
tt8773338,Netflix,documentary
tt7042146,Netflix,animation
tt7042146,Netflix,action
tt7042146,Netflix,adventure
tt7042146,Netflix,crime
tt8740790,Netflix,drama
tt13161310,Netflix,reality
